# Label; SimBeta; <Q^2>; eQ^2
"MS"; 0.1; 0.0; 0.0
"MS"; 0.5; 0.0; 0.0
"MS"; 1.0; 0.0; 0.0
"MS"; 1.5; 0.0; 0.0
"MS"; 2.0; 0.4804503002814377; 0.09206435864166215
"MS"; 2.5; 2.637639148524468; 0.7407912593305834
"MS"; 3.0; 1.8832418020261263; 0.16061000489673424
"MS"; 3.5; 3.4535177834486146; 0.272960991858689
"MS"; 4.0; 3.9579868487417804; 0.2411519297960908
"MS"; 4.5; 4.753632346020217; 0.1986038526224486
"MS"; 5.0; 4.7572379732737335; 0.11306181314535858
"MS"; 5.5; 5.453720283575177; 0.16253820715878015
"MS"; 6.0; 5.860799912999946; 0.11884333047181544
"MS"; 6.5; 6.261945163715727; 0.09199634613676129
"MS"; 7.0; 7.0407737754836095; 0.08721328526874138
"MS"; 7.5; 7.4696352935220585; 0.09745017060243552
"MS"; 8.0; 7.819092386932742; 0.08616778868723815
"MS"; 8.5; 8.32781207988255; 0.09359362289571636
"MS"; 9.0; 8.828090517556573; 0.08246006203112824
"MS"; 9.5; 9.359030849394282; 0.07923940185981082
"MS"; 10.0; 9.85943491214682; 0.07913573047910498
"MR"; 0.1; 0.0; 0.0
"MR"; 0.5; 0.0; 0.0
"MR"; 1.0; 0.0; 0.0
"MR"; 1.5; 0.0; 0.0
"MR"; 2.0; 0.78870236793898; 0.06838794429576021
"MR"; 2.5; 2.8469774043608775; 0.3789313364056965
"MR"; 3.0; 2.7328217080135677; 0.35462446973448897
"MR"; 3.5; 3.736689835431147; 0.2945869843632149
"MR"; 4.0; 4.475339047086904; 0.2769530461531715
"MR"; 4.5; 4.161362600851626; 0.2191798129201592
"MR"; 5.0; 4.684298552686595; 0.21336419109070978
"MR"; 5.5; 5.364263977664986; 0.13947251460529939
"MR"; 6.0; 5.781717988573742; 0.14119707598186446
"MR"; 6.5; 6.575874734921709; 0.12460640096594715
"MR"; 7.0; 6.969958731224207; 0.150965163772736
"MR"; 7.5; 7.573154108221318; 0.1244407387916269
"MR"; 8.0; 7.7465467165916975; 0.1095642735172417
"MR"; 8.5; 8.515801572375983; 0.08740289431740332
"MR"; 9.0; 8.887171804482378; 0.08270173287610161
"MR"; 9.5; 9.304839565524729; 0.07739706286569725
"MR"; 10.0; 9.86248366405229; 0.09090922962448399
"HS"; 0.1; 0.0; 0.0
"HS"; 0.5; 0.0; 0.0
"HS"; 1.0; 0.0; 0.0
"HS"; 1.5; 0.0; 0.0
"HS"; 2.0; 2.922868076792548; 0.5640844745726
"HS"; 2.5; 2.076093172558233; 0.32288377695062265
"HS"; 3.0; 2.976873735546085; 0.2049651831023298
"HS"; 3.5; 2.978756236722648; 0.14498268359006303
"HS"; 4.0; 3.793875496172185; 0.12185714091878004
"HS"; 4.5; 4.4746734216708886; 0.11514391668047737
"HS"; 5.0; 4.83710364818978; 0.12413421128755059
"HS"; 5.5; 5.187663242289527; 0.09046417316692362
"HS"; 6.0; 5.60227475142172; 0.07851440990871428
"HS"; 6.5; 5.950016218760137; 0.08253165823008222
"HS"; 7.0; 6.230568894105559; 0.06059229148274701
"HS"; 7.5; 6.72556732847958; 0.0637188837438489
"HS"; 8.0; 7.099495062184414; 0.07737058948819946
"HS"; 8.5; 7.4920584325365205; 0.06951309483401213
"HS"; 9.0; 7.838935524334703; 0.05198332447261191
"HS"; 9.5; 8.192003870002418; 0.044481362064957536
"HS"; 10.0; 8.68314355196472; 0.06127958682095324
"HR"; 0.1; 0.0; 0.0
"HR"; 0.5; 0.0; 0.0
"HR"; 1.0; 0.0; 0.0
"HR"; 1.5; 0.0; 0.0
"HR"; 2.0; 0.6846885529303456; 0.1781914292794102
"HR"; 2.5; 2.469972793732996; 0.3583557750361715
"HR"; 3.0; 2.661556663472915; 0.20329967096577628
"HR"; 3.5; 3.612367882729927; 0.2450941656037894
"HR"; 4.0; 3.7609148505717815; 0.1969690454658944
"HR"; 4.5; 4.4217290135806335; 0.140373981905501
"HR"; 5.0; 4.618726011703758; 0.11417929929015387
"HR"; 5.5; 5.159588849743031; 0.1265516977692675
"HR"; 6.0; 5.591174744484215; 0.09004813684091809
"HR"; 6.5; 5.95376809610506; 0.10900512896298363
"HR"; 7.0; 6.271072669420418; 0.0862609871742958
"HR"; 7.5; 6.681300425812766; 0.11877856235511497
"HR"; 8.0; 6.944396840248025; 0.08473890911091371
"HR"; 8.5; 7.498904061815039; 0.08427247944796502
"HR"; 9.0; 7.717024823140514; 0.062356626402981
"HR"; 9.5; 8.152773220483263; 0.07177649714328335
"HR"; 10.0; 8.577629736018585; 0.06254066666090577
