# Label; SimBeta; <Q^2>; eQ^2
"MS"; 0.1; 0.0; 0.0
"MS"; 0.5; 0.49063990639906396; 0.035371787251047025
"MS"; 1.0; 0.9764047640476404; 0.01307291517264269
"MS"; 1.5; 1.4517445174451744; 0.013113171919020098
"MS"; 2.0; 1.8224732247322473; 0.025362444896167083
"MS"; 2.5; 2.1380613806138062; 0.013617217451120838
"MS"; 3.0; 2.3861338613386134; 0.009786597978868905
"MS"; 3.5; 2.5489454894548946; 0.01540631183782947
"MS"; 4.0; 2.7193171931719315; 0.022826592679007874
"MS"; 4.5; 2.8242582425824256; 0.02287000097167572
"MS"; 5.0; 2.957039570395704; 0.013164229732287624
"MS"; 5.5; 3.0614556145561456; 0.030512925312252658
"MS"; 6.0; 3.1331263312633126; 0.027001856932029285
"MS"; 6.5; 3.2197371973719737; 0.00801588700297378
"MS"; 7.0; 3.292772927729277; 0.008152777304561723
"MS"; 7.5; 3.32419824198242; 0.020055783316650675
"MS"; 8.0; 3.3636636366363666; 0.01787486596686338
"MS"; 8.5; 3.3876038760387606; 0.004230871987874059
"MS"; 9.0; 3.5099150991509913; 0.002822134731802311
"MS"; 9.5; 3.4890048900489004; 0.025981964898752326
"MS"; 10.0; 3.5022950229502294; 0.01613234328918151
"MR"; 0.1; 0.0; 0.0
"MR"; 0.5; 0.5319653196531965; 0.0680524572990898
"MR"; 1.0; 0.989649896498965; 0.012965381255910352
"MR"; 1.5; 1.4532745327453274; 0.0016340984602458764
"MR"; 2.0; 1.8027030270302704; 0.009130184980479739
"MR"; 2.5; 2.12630126301263; 0.006755327116020718
"MR"; 3.0; 2.3702337023370235; 0.026549591961710684
"MR"; 3.5; 2.573530735307353; 0.01292066604750359
"MR"; 4.0; 2.7078420784207844; 0.010905312161205232
"MR"; 4.5; 2.8624036240362405; 0.016990659198512503
"MR"; 5.0; 2.978519785197852; 0.003983333333333228
"MR"; 5.5; 3.050040500405004; 0.028431999773338268
"MR"; 6.0; 3.1669066690666905; 0.01965785113157367
"MR"; 6.5; 3.216692166921669; 0.005061949558552893
"MR"; 7.0; 3.26209762097621; 0.010798971144408967
"MR"; 7.5; 3.327888278882789; 0.002488194347536185
"MR"; 8.0; 3.373938739387394; 0.00811485263780762
"MR"; 8.5; 3.4281492814928147; 0.013165305836849234
"MR"; 9.0; 3.4297542975429756; 0.009481604997748645
"MR"; 9.5; 3.4568595685956858; 0.010550000000000134
"MR"; 10.0; 3.5004650046500463; 0.0215556901484916
"HS"; 0.1; 0.0; 0.0
"HS"; 0.5; 0.45859958599586; 0.005254839039716942
"HS"; 1.0; 0.8980739807398074; 0.002335772534587506
"HS"; 1.5; 1.2519575195751957; 0.0077341953542548435
"HS"; 2.0; 1.5684756847568475; 0.006781285522180379
"HS"; 2.5; 1.8649536495364953; 0.01734892728031848
"HS"; 3.0; 2.1133261332613325; 0.015068187607598281
"HS"; 3.5; 2.3511985119851198; 0.010894583261623373
"HS"; 4.0; 2.535910359103591; 0.015213234370113493
"HS"; 4.5; 2.7363423634236343; 0.003551173514957142
"HS"; 5.0; 2.863048630486305; 0.005664533912374816
"HS"; 5.5; 3.0152851528515283; 0.005686240703077235
"HS"; 6.0; 3.161341613416134; 0.0049662192192182755
"HS"; 6.5; 3.2503675036750366; 0.03445886839568452
"HS"; 7.0; 3.325593255932559; 0.026349831329841793
"HS"; 7.5; 3.383928839288393; 0.021242260028328245
"HS"; 8.0; 3.484129841298413; 0.010741314320572331
"HS"; 8.5; 3.544550445504455; 0.006555044707026078
"HS"; 9.0; 3.6230162301623015; 0.019876891943493874
"HS"; 9.5; 3.6449164491644916; 0.006517945313602402
"HS"; 10.0; 3.701152011520115; 0.017781224492268266
"HR"; 0.1; 0.0; 0.0
"HR"; 0.5; 0.5132751327513275; 0.04057561185956137
"HR"; 1.0; 0.8879188791887919; 0.01619488945452993
"HR"; 1.5; 1.2150871508715086; 0.011315512950517656
"HR"; 2.0; 1.4938649386493865; 0.022572623536783114
"HR"; 2.5; 1.7704077040770407; 0.006451184215148241
"HR"; 3.0; 1.996489964899649; 0.007649473474981369
"HR"; 3.5; 2.2076320763207633; 0.015544809780473748
"HR"; 4.0; 2.400429004290043; 0.023942454158066406
"HR"; 4.5; 2.5589055890558905; 0.016276081633284294
"HR"; 5.0; 2.7479224792247923; 0.015440648014611025
"HR"; 5.5; 2.90249902499025; 0.018197168583173655
"HR"; 6.0; 2.988329883298833; 0.02084045211708335
"HR"; 6.5; 3.1383913839138393; 0.02010611432707308
"HR"; 7.0; 3.248912489124891; 0.02833902393833948
"HR"; 7.5; 3.3374133741337415; 0.013266624790553638
"HR"; 8.0; 3.418849188491885; 0.013263996800026394
"HR"; 8.5; 3.4728347283472836; 0.0076289470658364375
"HR"; 9.0; 3.5417754177541774; 0.024991020609633062
"HR"; 9.5; 3.5806858068580687; 0.02117878262160824
"HR"; 10.0; 3.668331683316833; 0.036667049240428344
