# Label; SimBeta; <Q^2>; eQ^2
"MS"; 0.1; 0.0; 0.0
"MS"; 0.5; 0.47954747954747956; 0.010501214640434313
"MS"; 1.0; 0.9914139914139914; 0.003714417116226309
"MS"; 1.5; 1.446908946908947; 0.0029353439521305584
"MS"; 2.0; 1.8286998286998286; 0.003214940649055802
"MS"; 2.5; 2.1253536253536254; 0.002798796813262513
"MS"; 3.0; 2.3615108615108613; 0.003387081816597172
"MS"; 3.5; 2.5651030651030653; 0.004341510069324703
"MS"; 4.0; 2.7106572106572107; 0.005882801489356679
"MS"; 4.5; 2.8496218496218497; 0.00463012705048934
"MS"; 5.0; 2.9616929616929615; 0.004321443495043521
"MS"; 5.5; 3.04990354990355; 0.004094302061662081
"MS"; 6.0; 3.1385056385056385; 0.006200030269631962
"MS"; 6.5; 3.204972204972205; 0.006251915282752073
"MS"; 7.0; 3.2726612726612725; 0.00499999532254143
"MS"; 7.5; 3.3167433167433167; 0.006146112451055491
"MS"; 8.0; 3.3733338733338734; 0.005168190910304448
"MS"; 8.5; 3.4003939003939005; 0.0058676299433786236
"MS"; 9.0; 3.4525429525429527; 0.005675766600528347
"MS"; 9.5; 3.491272991272991; 0.006492411479867934
"MS"; 10.0; 3.520610020610021; 0.0037130023498140267
"MR"; 0.1; 0.0; 0.0
"MR"; 0.5; 0.49626649626649627; 0.010129808089868107
"MR"; 1.0; 0.9914844914844915; 0.004780642756741497
"MR"; 1.5; 1.4437784437784438; 0.002864071360459672
"MR"; 2.0; 1.8224553224553224; 0.0032654277505663716
"MR"; 2.5; 2.1135726135726136; 0.0039020171051036647
"MR"; 3.0; 2.3624033624033625; 0.00424121247236763
"MR"; 3.5; 2.555839055839056; 0.004559985784734297
"MR"; 4.0; 2.720965220965221; 0.00509054704531991
"MR"; 4.5; 2.8498918498918497; 0.00508552987080052
"MR"; 5.0; 2.961733461733462; 0.006270705761403369
"MR"; 5.5; 3.062866562866563; 0.005542464769369038
"MR"; 6.0; 3.125820125820126; 0.003755654846401421
"MR"; 6.5; 3.2174582174582174; 0.003734556641587943
"MR"; 7.0; 3.2666897666897667; 0.006246054160764309
"MR"; 7.5; 3.3187368187368187; 0.00596564304361091
"MR"; 8.0; 3.371068871068871; 0.005084745335777022
"MR"; 8.5; 3.4164604164604166; 0.006266028872099711
"MR"; 9.0; 3.463933963933964; 0.006578152569281704
"MR"; 9.5; 3.4827214827214825; 0.007186033477168485
"MR"; 10.0; 3.522906522906523; 0.005980315434225645
"HS"; 0.1; 0.0; 0.0
"HS"; 0.5; 0.4741234741234741; 0.005934098718895857
"HS"; 1.0; 0.8906003906003906; 0.00301785166804338
"HS"; 1.5; 1.2518772518772519; 0.0024522127254621015
"HS"; 2.0; 1.5683205683205683; 0.003163951959107609
"HS"; 2.5; 1.8563043563043562; 0.003465424415523467
"HS"; 3.0; 2.124887124887125; 0.002746654300869482
"HS"; 3.5; 2.346086346086346; 0.004499480587434886
"HS"; 4.0; 2.5484530484530485; 0.0044403217434653645
"HS"; 4.5; 2.721050721050721; 0.004266204489484454
"HS"; 5.0; 2.8814593814593814; 0.005503030368212683
"HS"; 5.5; 3.012120012120012; 0.005432538438574842
"HS"; 6.0; 3.105412605412605; 0.006601655239383425
"HS"; 6.5; 3.2331977331977333; 0.00539685216191585
"HS"; 7.0; 3.3275178275178274; 0.005002983542239674
"HS"; 7.5; 3.4176829176829178; 0.00650226211343616
"HS"; 8.0; 3.4818034818034818; 0.006572849321100243
"HS"; 8.5; 3.5553065553065553; 0.006431933456778317
"HS"; 9.0; 3.611283611283611; 0.005489016353933234
"HS"; 9.5; 3.6665166665166664; 0.005482103927319015
"HS"; 10.0; 3.7056112056112056; 0.006885642714039076
"HR"; 0.1; 0.0; 0.0
"HR"; 0.5; 0.48461448461448464; 0.006835538419578753
"HR"; 1.0; 0.880959880959881; 0.0029410214468881413
"HR"; 1.5; 1.2149157149157148; 0.0028983761899669756
"HR"; 2.0; 1.494074994074994; 0.0037261802029637126
"HR"; 2.5; 1.7554832554832556; 0.003119539122090248
"HR"; 3.0; 1.9947844947844948; 0.003897089097268338
"HR"; 3.5; 2.208101208101208; 0.00354193835046102
"HR"; 4.0; 2.3994728994728995; 0.004361918475637567
"HR"; 4.5; 2.584997584997585; 0.004153911969169846
"HR"; 5.0; 2.7485262485262485; 0.0044165189499181644
"HR"; 5.5; 2.8851253851253853; 0.004739461404449877
"HR"; 6.0; 3.018151518151518; 0.0040944013573106786
"HR"; 6.5; 3.130671130671131; 0.005635300384398851
"HR"; 7.0; 3.2283692283692282; 0.005193885318594254
"HR"; 7.5; 3.3182538182538184; 0.005676597083454831
"HR"; 8.0; 3.4073644073644074; 0.005418311879307214
"HR"; 8.5; 3.493639993639994; 0.0049010997552422515
"HR"; 9.0; 3.5466170466170466; 0.005640612706788947
"HR"; 9.5; 3.597996597996598; 0.0066923567300262955
"HR"; 10.0; 3.6664146664146666; 0.006741724704092178
