# Label; SimBeta; <Q^2>; eQ^2
"MS"; 0.1; 0.0; 0.0
"MS"; 0.5; 0.0; 0.0
"MS"; 1.0; 0.0; 0.0
"MS"; 1.5; 0.7975513623469601; 0.0001739952731746297
"MS"; 2.0; 1.6869897304368582; 0.0010921232494114411
"MS"; 2.5; 2.4874756554672284; 0.001480917662425091
"MS"; 3.0; 3.0398248149890508; 0.0018219431417362114
"MS"; 3.5; 3.539116908694807; 0.0021054354039762246
"MS"; 4.0; 4.046144127884008; 0.002464240075512364
"MS"; 4.5; 4.526848032928002; 0.002791273362068341
"MS"; 5.0; 4.936311308519457; 0.0030376972487705795
"MS"; 5.5; 5.511727844482991; 0.00336956457425294
"MS"; 6.0; 5.990285999392875; 0.0036540958338013726
"MS"; 6.5; 6.56127472257967; 0.004010243818290703
"MS"; 7.0; 6.959277434954839; 0.004259929859794546
"MS"; 7.5; 7.522877720179857; 0.004589885909653959
"MS"; 8.0; 7.903358743959921; 0.004812190400369413
"MS"; 8.5; 8.450647653165479; 0.005180523850986847
"MS"; 9.0; 8.910525369407836; 0.005445746283101941
"MS"; 9.5; 9.386025961626622; 0.005738907424118153
"MS"; 10.0; 9.834878489679905; 0.006018468737719035
"MR"; 0.1; 0.0; 0.0
"MR"; 0.5; 0.0; 0.0
"MR"; 1.0; 0.0; 0.0
"MR"; 1.5; 0.7794744862171554; 0.0001795275333308084
"MR"; 2.0; 1.539456846216053; 0.0006845614537515404
"MR"; 2.5; 2.4002866500179154; 0.0015793001277155801
"MR"; 3.0; 2.827144864196554; 0.0017183869175761294
"MR"; 3.5; 3.4109786506861655; 0.002085023507276416
"MR"; 4.0; 3.9439140589946287; 0.0024234192902869473
"MR"; 4.5; 4.52872415804526; 0.0027756979273689713
"MR"; 5.0; 4.953623559601472; 0.0030455614129156305
"MR"; 5.5; 5.525652720353295; 0.003353938751551923
"MR"; 6.0; 5.912524119532757; 0.0036342952308782476
"MR"; 6.5; 6.520952095059506; 0.003983684953627029
"MR"; 7.0; 6.951211559450723; 0.004264341093776775
"MR"; 7.5; 7.467206154200385; 0.00458061309644678
"MR"; 8.0; 7.9809961238122575; 0.004899963488265385
"MR"; 8.5; 8.440615465038466; 0.005169857413241262
"MR"; 9.0; 8.891971493248219; 0.005434786682002218
"MR"; 9.5; 9.353965522122845; 0.005729999441892407
"MR"; 10.0; 9.82685648917853; 0.0060202828944827405
"HS"; 0.1; 8.812500550781284e-6; 1.2854297744617564e-6
"HS"; 0.5; 0.0009367500585468787; 1.3639025873076167e-5
"HS"; 1.0; 0.008085750505359406; 4.0199984459533085e-5
"HS"; 1.5; 0.0452362528272658; 0.00010097364930159826
"HS"; 2.0; 0.14372757148297322; 0.00019523724150825064
"HS"; 2.5; 0.3547052096690756; 0.0003465582634370835
"HS"; 3.0; 0.7325482957842685; 0.0005930960394648748
"HS"; 3.5; 1.3411380838211302; 0.000967181736568392
"HS"; 4.0; 2.266616579163536; 0.00153148247423383
"HS"; 4.5; 3.601118287569893; 0.0023353789022845235
"HS"; 5.0; 5.414604525912783; 0.003433692887172823
"HS"; 5.5; 7.612973350810835; 0.004758341683497846
"HS"; 6.0; 10.102139318883708; 0.006270617841600124
"HS"; 6.5; 12.681593855099615; 0.007833005280161159
"HS"; 7.0; 15.246095265380955; 0.009385604198369556
"HS"; 7.5; 17.73625629601602; 0.010890826577479832
"HS"; 8.0; 19.854962365935148; 0.01216811542823648
"HS"; 8.5; 21.86189780386861; 0.013426375232760288
"HS"; 9.0; 23.589534161845886; 0.014434026119266568
"HS"; 9.5; 25.145105509069094; 0.015427084389459875
"HS"; 10.0; 26.365851147865698; 0.016142152513747364
"HR"; 0.1; 0.0; 0.0
"HR"; 0.5; 0.0001845000115312507; 6.05778457197523e-6
"HR"; 1.0; 0.002983312686457043; 2.430244328117655e-5
"HR"; 1.5; 0.015884625992789125; 5.6417349355663395e-5
"HR"; 2.0; 0.05061037816314864; 0.00010426774390530102
"HR"; 2.5; 0.12435450777215673; 0.0001729304451243384
"HR"; 3.0; 0.2590700786918799; 0.0002738386452368259
"HR"; 3.5; 0.49038696814918553; 0.0004279380166604824
"HR"; 4.0; 0.892497055781066; 0.0006808075275506484
"HR"; 4.5; 1.6003986625249165; 0.0011148351544340365
"HR"; 5.0; 2.7486031717876984; 0.001816701595279668
"HR"; 5.5; 4.409671588104474; 0.0028208573339373114
"HR"; 6.0; 6.567153222947076; 0.004131743090992397
"HR"; 6.5; 9.057333003583313; 0.005639256607073666
"HR"; 7.0; 11.718732544920783; 0.007253853546565854
"HR"; 7.5; 14.42529296408081; 0.008894894345744189
"HR"; 8.0; 17.00657487541093; 0.01045583648557889
"HR"; 8.5; 19.385583274098956; 0.01189866343836043
"HR"; 9.0; 21.569077535567345; 0.013203210639864437
"HR"; 9.5; 23.451180903198807; 0.014367226296988049
"HR"; 10.0; 25.08133150508322; 0.015362071033527174
